Predictor;Label;Unity
1ry_res;Rate of main residences;%
2ry_res;Rate of secondary residences;%
Vacant_Home;Vacant housing rate;%
Houses;Rates of houses;%
Flats;Apartment rates;%
Nb_Rooms_1ry_res;Average number of rooms in main residences;Rooms
House_1ry_res;Rate of houses among main residences;%
Flat_1ry_res;Rate of apartments among main residences;%
1ry_res_bf_1919;Rate of main residences built before 1919;%
1ry_res_19.45;Rate of main residences built before between 1919 and 1945;%
1ry_res_46.70;Rate of main residences built before between 1946 and 1970;%
1ry_res_71.90;Rate of main residences built before between 1971 and 1990;%
1ry_res_91.05;Rate of main residences built before between 1991 and 2005;%
1ry_res_06.15;Rate of main residences built before between 2006 and 2015;%
HH_Moving_Time_lt2y;Rate of households having moved in less than 2 years ago;%
HH_Moving_Time_2to4y;Rate of households having moved in between 2 and 4 years ago;%
HH_Moving_Time_5to9y;Rate of households having moved in between 5 and 9 years ago;%
HH_Moving_Time_10to19y;Rate of households having moved in between 10 and 19 years ago;%
HH_Moving_Time_20to29y;Rate of households having moved in between 20 and 29 years ago;%
HH_Moving_Time_gt30y;Rate of households having moved in for more than 30 years;%
1ry_res_Owner;Rate of owner households;%
1ry_res_Tenant;Rate of tenant households (excluding public housing);%
1ry_res_Social;Rate of tenant households (public housing);%
1ry_res_FreeAcc;Rate of households housed free of charge;%
1ry_res_Carpark;Rate of main residences with a reserved parking space;%
1ry_res_0car;Rate of households without a car;%
1ry_res_1car;Rate of households owning 1 car;%
1ry_res_2car;Rate of households owning 2 car;%
1ry_res_3.car;Rate of households owning 3 or more cars;%
Pop_per_1ry_res;Average number of people per household;People
1ry_res_gt0car;Rate of households owning at least 1 car;%
Pop_per_1ry_res_Owner;Average number of people per owner household;%
Pop_per_1ry_res_Tenant;Average number of people per tenant household (excluding public housing);People
Pop_per_1ry_res_Social;Average number of people per tenant household (public housing);People
Pop_per_1ry_res_FreeAcc;Average number of people per household housed free of charge;People
1ry_res_Occupancy;Average duration of occupation of main residence;Years
Owners_Occupancy;Average tenure of main residence owners;Years
Tenant_Occupancy;Average duration of occupancy of tenants (excluding public housing) of main residence;Years
Social_Occupancy;Average duration of occupancy of tenants (public housing) of main residence;Years
FreeAcc_Occupancy;Average duration of occupation of people housed free of charge in their main residence;Years
Overcrowding_rate;Overcrowding rate;Years
X1564_Workforce_rate;15-64 years workforce rate among population of the same age group;%
X1524_Workforce_rate;15-24 years workforce rate among population of the same age group;%
X2554_Workforce_rate;25-54 years workforce rate among population of the same age group;%
X5564_Workforce_rate;55-65 years workforce rate among population of the same age group;%
X1564_men_Workforce_rate;15-64 years men workforce rate among men of the same age group;%
X1524_men_Workforce_rate;15-24 years men workforce rate among men of the same age group;%
X2554_men_Workforce_rate;25-54 years men workforce rate among men of the same age group;%
X5564_men_Workforce_rate;55-64 years men workforce rate among men of the same age group;%
